test_auroc,test_rank_1,test_rank_5,val_rank_1,val_rank_5,variant
0.8167396787468473,0.25,0.59375,0.296875,0.65625,combined_normalized
0.7692597017567149,0.296875,0.515625,0.265625,0.625,cardiac_only
0.74653745740962,0.125,0.4375,0.140625,0.40625,respiratory_only
0.781173945749812,0.15625,0.53125,0.171875,0.5,phase_insensitive_spectral
0.8797070666843666,0.484375,0.671875,0.375,0.71875,morphology_heavy
0.8398712332404089,0.25,0.640625,0.234375,0.546875,amplitude_bearing
0.7897694588256117,0.296875,0.625,0.203125,0.59375,random_temporal_half
0.5679454843134653,0.03125,0.234375,0.03125,0.234375,early_to_late
0.5709655294482057,0.109375,0.234375,0.0625,0.3125,late_to_early
